timestamp,snr,ber,latency
2024-01-01 00:00:00,28.5,0.0012,45
2024-01-01 00:05:00,27.8,0.0015,48
2024-01-01 00:10:00,29.1,0.0010,42
2024-01-01 00:15:00,26.5,0.0020,55
2024-01-01 00:20:00,25.0,0.0025,62
2024-01-01 00:25:00,24.3,0.0030,70
2024-01-01 00:30:00,22.1,0.0045,85
2024-01-01 00:35:00,20.5,0.0060,98
2024-01-01 00:40:00,18.9,0.0080,115
2024-01-01 00:45:00,17.2,0.0110,135
2024-01-01 00:50:00,15.5,0.0150,162
2024-01-01 00:55:00,14.0,0.0200,180
2024-01-01 01:00:00,12.3,0.0280,210
2024-01-01 01:05:00,10.8,0.0350,245
2024-01-01 01:10:00,9.5,0.0450,285
2024-01-01 01:15:00,11.2,0.0320,220
2024-01-01 01:20:00,13.5,0.0230,195
2024-01-01 01:25:00,15.8,0.0160,165
2024-01-01 01:30:00,17.5,0.0120,140
2024-01-01 01:35:00,19.2,0.0090,118
2024-01-01 01:40:00,21.0,0.0065,95
2024-01-01 01:45:00,22.8,0.0048,82
2024-01-01 01:50:00,24.5,0.0032,68
2024-01-01 01:55:00,26.1,0.0022,58
2024-01-01 02:00:00,27.5,0.0016,50
2024-01-01 02:05:00,28.8,0.0011,44
2024-01-01 02:10:00,29.5,0.0009,40
2024-01-01 02:15:00,30.2,0.0008,38
2024-01-01 02:20:00,29.8,0.0009,41
2024-01-01 02:25:00,28.5,0.0012,46
2024-01-01 02:30:00,27.2,0.0017,52
2024-01-01 02:35:00,25.8,0.0023,61
2024-01-01 02:40:00,23.5,0.0038,78
2024-01-01 02:45:00,21.2,0.0058,100
2024-01-01 02:50:00,19.0,0.0085,128
2024-01-01 02:55:00,16.8,0.0130,158
2024-01-01 03:00:00,14.5,0.0190,192
2024-01-01 03:05:00,12.0,0.0290,235
2024-01-01 03:10:00,10.2,0.0400,278
2024-01-01 03:15:00,8.5,0.0520,320
2024-01-01 03:20:00,7.2,0.0650,365
2024-01-01 03:25:00,6.0,0.0800,410
2024-01-01 03:30:00,8.8,0.0500,305
2024-01-01 03:35:00,11.5,0.0310,248
2024-01-01 03:40:00,14.2,0.0210,198
2024-01-01 03:45:00,17.0,0.0135,155
2024-01-01 03:50:00,19.8,0.0082,122
2024-01-01 03:55:00,22.5,0.0050,88
2024-01-01 04:00:00,25.0,0.0028,65
2024-01-01 04:05:00,27.2,0.0015,52
